price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,construction_year,neighborhood,city,climatisation,parabole_tv,pool,handicapped_access,parking,garage,garden,fireplace,interphone,terrace,electric_heating,elevator,alarm_system,internet_access,sea_view,furnished,central_heating,kitchen_equipped
260000.0,Appartement,1,1,2,59.0,0.0,2024.0,Ennasr,Ariana,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
340000.0,Appartement,3,1,3,0.0,0.0,,L'aouina,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280.0,Appartement,4,2,5,144.0,144.0,2022.0,Ezzahra,Ben Arous,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
185000.0,Appartement,2,1,3,75.0,0.0,,Hammamet,Nabeul,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0
2400.0,Appartement,3,,3,136.0,136.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
2550.0,Appartement,1,,1,68.0,68.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
170.0,Appartement,3,1,4,90.0,120.0,2001.0,Radès,Ben Arous,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0
2400.0,Appartement,2,,2,110.0,110.0,,Medina Jedida,Ben Arous,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
80.0,Appartement,2,1,3,75.0,0.0,,Sfax Ville,Sfax,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2600.0,Appartement,2,,2,124.0,124.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
260.0,Appartement,,,,0.0,0.0,,Le Bardo,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270.0,Appartement,4,2,4,128.0,0.0,2007.0,Jardins D'el Menzah,Ariana,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
480000.0,Appartement,2,2,3,200.0,200.0,,Monastir,Monastir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150000.0,Appartement,1,1,3,43.0,0.0,2014.0,Hammamet Nord,Nabeul,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
380000.0,Appartement,2,1,,160.0,0.0,,Hammamet Nord,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
260000.0,Appartement,1,1,3,55.09,0.0,,Hammamet Nord,Nabeul,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
186000.0,Appartement,2,1,,85.0,0.0,2022.0,Kélibia,Nabeul,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0
186000.0,Appartement,2,1,2,85.0,0.0,,Nabeul,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
690000.0,Appartement,3,2,,160.0,255.0,,Hammamet,Nabeul,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
490000.0,Appartement,3,2,4,0.0,0.0,,Hammamet,Nabeul,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185000.0,Appartement,3,2,5,172.0,0.0,,Nabeul,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235000.0,Appartement,2,1,3,150.0,285.0,2024.0,Nabeul,Nabeul,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
250000.0,Appartement,5,,,170.0,0.0,,Sfax Ville,Sfax,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200000.0,Appartement,3,,6,114.0,0.0,1960.0,Sfax Ville,Sfax,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420000.0,Appartement,3,3,4,130.0,0.0,,Menzah,Ariana,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
450000.0,Appartement,1,1,3,84.0,33.0,2016.0,Hammamet Nord,Nabeul,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
450000.0,Appartement,1,1,3,84.0,0.0,2016.0,Hammamet Nord,Nabeul,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1
199000.0,Appartement,1,1,2,57.0,0.0,,Hammamet Nord,Nabeul,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
300000.0,Appartement,,,,156.0,0.0,,Médina,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
600000.0,Appartement,3,,3,160.0,160.0,,Hammam Sousse,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,2,1,,90.0,0.0,2020.0,Hammamet Nord,Nabeul,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
280000.0,Appartement,2,1,5,100.0,50.0,2023.0,Hammamet Nord,Nabeul,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
270000.0,Appartement,2,1,4,120.0,10.0,2010.0,Hammamet Nord,Nabeul,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
535000.0,Appartement,,,,0.0,0.0,,Les Berges Du Lac,Tunis,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0
150000.0,Appartement,1,1,3,43.0,0.0,2014.0,Hammamet Nord,Nabeul,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1300.0,Appartement,,,,0.0,0.0,,La Soukra,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
245000.0,Appartement,2,1,3,92.0,0.0,,Ariana Ville,Ariana,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0
380000.0,Appartement,1,1,,73.0,0.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
180000.0,Appartement,1,1,,77.0,0.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
700000.0,Appartement,7,3,,200.0,425.0,,Mahdia,Mahdia,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
100000.0,Appartement,2,1,3,55.0,0.0,,El Mourouj,Ben Arous,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
138000.0,Appartement,4,,4,109.0,0.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
510000.0,Appartement,3,,3,135.0,135.0,,Ariana Ville,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
393000.0,Appartement,2,,1,123.0,0.0,,Sahloul,Sousse,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
270000.0,Appartement,1,,1,82.0,0.0,,Sahloul,Sousse,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
355000.0,Appartement,2,,1,127.0,0.0,,Sahloul,Sousse,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
435000.0,Appartement,2,1,1,136.0,0.0,,Sahloul,Sousse,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
420000.0,Appartement,4,3,5,200.0,0.0,,L'aouina,Tunis,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
