price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,has_many_total_rooms,area_ratio,neighborhood_encoded,city_encoded
280000.0,Appartement,2,1,5,100.0,50.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,2.0,558707.4744327647,458175.61991505267
270000.0,Appartement,2,1,5,120.0,10.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0,0,0,12.0,558707.4744327647,458175.61991505267
150000.0,Appartement,1,1,4,43.0,43.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
245000.0,Appartement,2,1,5,92.0,92.0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1.0,372297.64382018545,427787.78534561204
380000.0,Appartement,1,1,4,73.0,73.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
180000.0,Appartement,1,1,4,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
100000.0,Appartement,2,1,5,55.0,55.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,327412.3889619764,338241.03960251884
138000.0,Appartement,4,1,7,109.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302831.00508966454,338241.03960251884
510000.0,Appartement,3,1,6,135.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,372297.64382018545,427787.78534561204
393000.0,Appartement,2,1,5,123.0,123.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
270000.0,Appartement,1,1,4,82.0,82.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
355000.0,Appartement,2,1,5,127.0,127.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
435000.0,Appartement,2,1,5,136.0,136.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
420000.0,Appartement,4,3,9,200.0,200.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,319271.50855692173,421175.1741721047
130000.0,Appartement,3,1,6,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,327412.3889619764,338241.03960251884
250000.0,Appartement,3,3,8,150.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.530612244897959,395694.838953742,392742.7554220874
165000.0,Appartement,2,1,5,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,246824.30378232716,363576.0441760572
256200.0,Appartement,2,1,5,91.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
250000.0,Appartement,2,1,5,160.0,160.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
160000.0,Appartement,3,2,7,107.0,121.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.8842975206611571,352120.543778335,318655.5515300233
250000.0,Appartement,2,1,5,121.0,121.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.0,0,0,0,1.0,302831.00508966454,338241.03960251884
320000.0,Appartement,2,1,5,93.0,93.0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0.0,0,0,0,1.0,332320.45881297014,458175.61991505267
375000.0,Appartement,2,1,5,113.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,478486.5117261625,427787.78534561204
202000.0,Appartement,2,1,5,101.0,101.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
320000.0,Appartement,6,3,10,270.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,2.7,505122.7574394545,458175.61991505267
140000.0,Appartement,2,1,5,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,434858.080265918,363576.0441760572
290000.0,Appartement,3,2,7,108.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302831.00508966454,338241.03960251884
120000.0,Appartement,2,1,5,70.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,339910.0407131743,338241.03960251884
190000.0,Appartement,2,1,5,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,339910.0407131743,338241.03960251884
200000.0,Appartement,2,1,5,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,339910.0407131743,338241.03960251884
100000.0,Appartement,2,1,5,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,339910.0407131743,338241.03960251884
240000.0,Appartement,2,1,5,45.0,45.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,0,1.0,382967.59487021936,421175.1741721047
365000.0,Appartement,3,1,6,157.0,157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,410859.47254198004,427787.78534561204
365000.0,Appartement,2,1,5,163.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
290000.0,Appartement,3,1,6,93.0,93.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0,0,0,0,1.0,228600.95933359727,421175.1741721047
400000.0,Appartement,1,1,4,163.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,375954.08769712166,421175.1741721047
160000.0,Appartement,3,1,6,64.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,228600.95933359727,421175.1741721047
120000.0,Appartement,2,1,5,70.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,379221.5362434465,346617.9810001233
152520.0,Appartement,3,1,6,82.0,82.0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1.0,275349.0957862516,323827.7622211811
320000.0,Appartement,3,1,6,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,434858.080265918,363576.0441760572
240000.0,Appartement,2,1,5,80.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,371320.28662822355,363576.0441760572
250000.0,Appartement,3,1,6,110.0,110.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,374960.15619164944,323827.7622211811
